#------------------------------
#汉喃字	国语字
#------------------------------
鏹	cường
𪵲	ao
𪥌	áo
𫅫	bay
𫅰	bay
𫕾	bày
𫇟	be
𫇥	bioóc
𪿍	biết
𫑆	biền
𫁰	buốc
𫃚	buộc
𫄂	buột
𪽕	báo
𫗌	bân
𪤄	bãi
𪺵	bê
𫎑	bói
𫃘	bón
𫕰	bóng
𪜛	bú
𫑌	băng
𪩬	bơ
𪱟	bươn
𪽲	bạnh
𫅚	bảnh
𫕡	bấc
𪨄	bấn
𪜢	bấu
𪷪	bẩn
𪳴	bẫy
𫂨	bậc
𪦚	bậy
𪧻	bắn
𪪻	bắn
𫐴	bắt
𫐾	bắt
𫆘	bẹn
𪺤	bẹt
𪭀	bẽn
𫖽	bễ
𪝌	bị
𫃚	bọc
𪨠	bọn
𪡈	bớ
𪽝	bới
𫄐	bời
𪽝	bởi
𪥻	bợm
𪣽	bụt
𪰓	bừng
𪹚	bừng
𫑯	cau
𫐝	cay
𫑃	che
𫚳	chim
𪤾	chiều
𪵚	chiờn
𫖦	chuộng
𪷞	chàm
𪸔	cháy
𫉕	chè
𪨛	ché
𪟂	chém
𫇳	chòm
𪭮	chóng
𫏢	chóng
𪳘	chông
𪨚	chõ
𪻋	chù
𫇳	chùm
𪨀	chút
𪨃	chút
𫂷	chăm
𫃋	chăm
𫄺	chĩnh
𫍍	chước
𪮻	chạm
𫆢	chả
𪠺	chấp
𪩔	chắn
𪭽	chắng
𪮞	chặt
𫗹	chỏm
𪡷	chờ
𪦜	chửa
𪳼	chửa
𪴾	chửi
𫀅	coi
𫀢	coi
𫛐	cuốc
𫈃	cuống
𪷧	cuồn
𪲾	cà
𫈥	cà
𫉸	cà
𪨈	càng
𫋙	càng
𫀵	cày
𫆥	cáng
𫅩	cánh
𪶼	cát
𫛈	cò
𪽱	còng
𪧄	côi
𪽵	cùi
𫚱	cú
𫏱	cúi
𪡻	cũ
𫇰	cũ
𪟓	cùn
𪠱	cướp
𪤺	cười
𫊩	cạp
𫔷	cạy
𪥘	cả
𪥞	cải
𪡝	cảng
𪻊	cấn
𪧱	cắt
𫋻	cỏi
𫋻	cổi
𫋐	củng
𪭚	cửa
𫔤	cửa
𫔳	cửa
𫔸	cửa
𪤻	da
𪾉	da
𪵰	diễn
𪟞	dài
𪩧	dành
𪺓	dành
𪠗	dày
𪾋	dám
𪳫	dâu
𪶩	dãi
𫅕	dê
𪾀	dích
𫄃	dùn
𪽠	dầu
𫇊	dẩu
𫃒	dậm
𪭡	dập
𫃡	dập
𪮽	dắt
𪱁	dễ
𪵸	dịa
𫆡	dọc
𪰿	dử
𪾟	dử
𪧡	dửc
𪮚	gang
𪟙	gắng
𪟕	ghi
𪡴	ghi
𫂮	ghi
𫍕	ghi
𪢍	ghét
𪢤	ghẹo
𪴻	ghẹo
𪞴	ghế
𪟦	giai
𪬌	giam
𪶎	gieo
𫅷	già
𫋨	gián
𪳞	giáo
𪢆	giã
𫕲	gió
𫖾	gió
𫗃	gió
𫗄	gió
𪩮	giăng
𪮴	giũ
𪲝	giường
𪝪	giả
𪬲	giận
𪶵	giặt
𪲽	giết
𪝕	giềng
𪽐	giới
𪬪	giờ
𪱡	giờ
𪧚	giữ
𪰏	gà
𫏄	gàm
𪢡	gáo
𪟡	gã
𪮣	gãy
𫈅	góc
𫋻	gói
𫜍	gạc
𪻈	gảng
𪡆	gầm
𫈺	gầy
𪜒	gật
